[240]{'policy_loss': -22.557, 'ent_loss': -1.045, 'mem_len': 35456}
[242]{'policy_loss': -22.931, 'ent_loss': -1.041, 'mem_len': 35666}
[244]{'policy_loss': -23.729, 'ent_loss': -0.853, 'mem_len': 36036}
[246]{'policy_loss': -23.483, 'ent_loss': -0.873, 'mem_len': 36345}
[248]{'policy_loss': -22.52, 'ent_loss': -1.03, 'mem_len': 36761}
[250]{'policy_loss': -23.41, 'ent_loss': -0.938, 'mem_len': 36993}
[252]{'policy_loss': -25.126, 'ent_loss': -0.935, 'mem_len': 37230}
[254]{'policy_loss': -24.022, 'ent_loss': -0.852, 'mem_len': 37450}
[256]{'policy_loss': -24.455, 'ent_loss': -1.0, 'mem_len': 37758}
[258]{'policy_loss': -25.897, 'ent_loss': -0.932, 'mem_len': 38370}
[260]{'policy_loss': -25.309, 'ent_loss': -0.822, 'mem_len': 38587}
[262]{'policy_loss': -25.117, 'ent_loss': -0.9, 'mem_len': 38905}
[264]{'policy_loss': -26.519, 'ent_loss': -0.96, 'mem_len': 39122}
[266]{'policy_loss': -25.82, 'ent_loss': -0.923, 'mem_len': 39421}
[268]{'policy_loss': -25.205, 'ent_loss': -0.788, 'mem_len': 39949}
[270]{'policy_loss': -24.717, 'ent_loss': -0.61, 'mem_len': 40470}
[272]{'policy_loss': -25.391, 'ent_loss': -0.817, 'mem_len': 40755}
[274]{'policy_loss': -25.269, 'ent_loss': -1.044, 'mem_len': 41002}
[276]{'policy_loss': -26.138, 'ent_loss': -0.773, 'mem_len': 41266}
[278]{'policy_loss': -25.927, 'ent_loss': -0.697, 'mem_len': 41662}
[280]{'policy_loss': -26.484, 'ent_loss': -1.021, 'mem_len': 42095}
[282]{'policy_loss': -25.941, 'ent_loss': -0.898, 'mem_len': 42409}
[284]{'policy_loss': -24.973, 'ent_loss': -0.852, 'mem_len': 42760}
[286]{'policy_loss': -26.916, 'ent_loss': -0.908, 'mem_len': 43132}
[288]{'policy_loss': -25.645, 'ent_loss': -1.184, 'mem_len': 43568}
[290]{'policy_loss': -25.343, 'ent_loss': -0.787, 'mem_len': 43901}
[292]{'policy_loss': -26.584, 'ent_loss': -0.81, 'mem_len': 44238}
[294]{'policy_loss': -25.686, 'ent_loss': -1.036, 'mem_len': 44717}
[296]{'policy_loss': -25.941, 'ent_loss': -0.606, 'mem_len': 44944}
[298]{'policy_loss': -24.749, 'ent_loss': -0.729, 'mem_len': 45241}
[300]{'policy_loss': -26.53, 'ent_loss': -0.641, 'mem_len': 45688}
[302]{'policy_loss': -26.518, 'ent_loss': -0.756, 'mem_len': 45930}
[304]{'policy_loss': -26.646, 'ent_loss': -0.583, 'mem_len': 46387}
[306]{'policy_loss': -26.498, 'ent_loss': -0.766, 'mem_len': 46715}
[308]{'policy_loss': -27.164, 'ent_loss': -0.617, 'mem_len': 47059}
[310]{'policy_loss': -28.041, 'ent_loss': -0.738, 'mem_len': 47510}
[312]{'policy_loss': -28.378, 'ent_loss': -0.545, 'mem_len': 47769}
[314]{'policy_loss': -28.436, 'ent_loss': -0.691, 'mem_len': 47998}
[316]{'policy_loss': -27.724, 'ent_loss': -0.777, 'mem_len': 48441}
[318]{'policy_loss': -29.062, 'ent_loss': -0.493, 'mem_len': 48713}
[320]{'policy_loss': -27.074, 'ent_loss': -0.981, 'mem_len': 48910}
[322]{'policy_loss': -27.081, 'ent_loss': -0.712, 'mem_len': 49166}
[324]{'policy_loss': -26.402, 'ent_loss': -0.473, 'mem_len': 49742}
[326]{'policy_loss': -27.257, 'ent_loss': -0.803, 'mem_len': 50071}
[328]{'policy_loss': -29.375, 'ent_loss': -0.469, 'mem_len': 50439}
[330]{'policy_loss': -27.514, 'ent_loss': -0.562, 'mem_len': 50734}
[332]{'policy_loss': -27.872, 'ent_loss': -0.603, 'mem_len': 51028}
[334]{'policy_loss': -27.864, 'ent_loss': -0.35, 'mem_len': 51332}
[336]{'policy_loss': -26.362, 'ent_loss': -0.689, 'mem_len': 51562}
[338]{'policy_loss': -28.435, 'ent_loss': -0.55, 'mem_len': 51804}
[340]{'policy_loss': -28.336, 'ent_loss': -0.431, 'mem_len': 52027}
[342]{'policy_loss': -27.478, 'ent_loss': -0.415, 'mem_len': 52356}
[344]{'policy_loss': -29.845, 'ent_loss': -0.357, 'mem_len': 52672}
[346]{'policy_loss': -29.406, 'ent_loss': -0.614, 'mem_len': 53096}
[348]{'policy_loss': -29.42, 'ent_loss': -0.791, 'mem_len': 53325}
[350]{'policy_loss': -29.827, 'ent_loss': -0.355, 'mem_len': 53759}
[352]{'policy_loss': -28.58, 'ent_loss': -0.486, 'mem_len': 54151}
[2]{'policy_loss': -27.916, 'ent_loss': -0.301, 'mem_len': 37578}
